Gene ID	source_id	Organism	Product Description	Gene Name or Symbol	Curated GO Component IDs	Curated GO Components	Curated GO Function IDs	Curated GO Functions	Curated GO Process IDs	Curated GO Processes	Computed GO Component IDs	Computed GO Components	Computed GO Function IDs	Computed GO Functions	Computed GO Process IDs	Computed GO Processes
NCU02601	NCU02601-t26_1	Neurospora crassa OR74A	hypothetical protein, hypothetical protein, variant 1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU02601	NCU02601-t26_2	Neurospora crassa OR74A	hypothetical protein, hypothetical protein, variant 1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU02602	NCU02602-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU02603	NCU02603-t26_1	Neurospora crassa OR74A	oxidoreductase	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0046872;GO:0016491	metal ion binding;oxidoreductase activity	GO:0055114	obsolete oxidation-reduction process
NCU02604	NCU02604-t26_1	Neurospora crassa OR74A	hypothetical protein	rbg-7	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005634	nucleus	GO:0005515	protein binding	GO:0006364	rRNA processing
NCU02605	NCU02605-t26_1	Neurospora crassa OR74A	DNA-directed RNA polymerase I/II/III subunit 10	rpo-14	GO:0005736;GO:0005665;GO:0016591;GO:0005666;GO:0005829;GO:0005730;GO:0005634	RNA polymerase I complex;RNA polymerase II, core complex;RNA polymerase II, holoenzyme;RNA polymerase III complex;cytosol;nucleolus;nucleus	GO:0003899;GO:0005515;GO:0008270	DNA-directed 5'-3' RNA polymerase activity;protein binding;zinc ion binding	GO:0042797;GO:0006360;GO:0006366	tRNA transcription by RNA polymerase III;transcription by RNA polymerase I;transcription by RNA polymerase II	N/A	N/A	GO:0003677;GO:0003899;GO:0008270	DNA binding;DNA-directed 5'-3' RNA polymerase activity;zinc ion binding	GO:0009303;GO:0009304;GO:0006351	rRNA transcription;tRNA transcription;transcription, DNA-templated
NCU02606	NCU02606-t26_1	Neurospora crassa OR74A	hypothetical protein, hypothetical protein, variant 1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU02606	NCU02606-t26_2	Neurospora crassa OR74A	hypothetical protein, hypothetical protein, variant 1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU02607	NCU02607-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU02608	NCU02608-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	GO:0008168;GO:0016279	methyltransferase activity;protein-lysine N-methyltransferase activity	GO:0032259;GO:0018022	methylation;peptidyl-lysine methylation	N/A	N/A	N/A	N/A	N/A	N/A
NCU02609	NCU02609-t26_1	Neurospora crassa OR74A	hypothetical protein, hypothetical protein, variant 1	N/A	GO:0005737;GO:0000151	cytoplasm;ubiquitin ligase complex	GO:0061630	ubiquitin protein ligase activity	GO:0016567;GO:0071596	protein ubiquitination;ubiquitin-dependent protein catabolic process via the N-end rule pathway	N/A	N/A	GO:0061630;GO:0008270	ubiquitin protein ligase activity;zinc ion binding	GO:0071596	ubiquitin-dependent protein catabolic process via the N-end rule pathway
NCU02609	NCU02609-t26_2	Neurospora crassa OR74A	hypothetical protein, hypothetical protein, variant 1	N/A	GO:0005737;GO:0000151	cytoplasm;ubiquitin ligase complex	GO:0061630	ubiquitin protein ligase activity	GO:0016567;GO:0071596	protein ubiquitination;ubiquitin-dependent protein catabolic process via the N-end rule pathway	N/A	N/A	GO:0061630;GO:0008270	ubiquitin protein ligase activity;zinc ion binding	GO:0071596	ubiquitin-dependent protein catabolic process via the N-end rule pathway
NCU02610	NCU02610-t26_1	Neurospora crassa OR74A	dynein light chain type 1, variant 1, dynein light chain type 1	dyn-1	GO:0005868;GO:0030286	cytoplasmic dynein complex;dynein complex	GO:0045505;GO:0051959	dynein intermediate chain binding;dynein light intermediate chain binding	GO:2000582	obsolete positive regulation of microtubule motor activity, plus-end-directed	GO:0005737;GO:0030286;GO:0005874;GO:0005875;GO:0005643	cytoplasm;dynein complex;microtubule;microtubule associated complex;nuclear pore	GO:0003774	cytoskeletal motor activity	GO:0007017	microtubule-based process
NCU02610	NCU02610-t26_2	Neurospora crassa OR74A	dynein light chain type 1, variant 1, dynein light chain type 1	dyn-1	GO:0005868;GO:0030286	cytoplasmic dynein complex;dynein complex	GO:0045505;GO:0051959	dynein intermediate chain binding;dynein light intermediate chain binding	GO:2000582	obsolete positive regulation of microtubule motor activity, plus-end-directed	GO:0005737;GO:0030286;GO:0005874;GO:0005875;GO:0005643	cytoplasm;dynein complex;microtubule;microtubule associated complex;nuclear pore	GO:0003774	cytoskeletal motor activity	GO:0007017	microtubule-based process
NCU02611	NCU02611-t26_1	Neurospora crassa OR74A	multiple RNA-binding domain-containing protein 1	rrn-3	GO:0005737;GO:0016607;GO:0005634	cytoplasm;nuclear speck;nucleus	GO:0003723	RNA binding	GO:0045292;GO:0000381	mRNA cis splicing, via spliceosome;regulation of alternative mRNA splicing, via spliceosome	N/A	N/A	GO:0003676	nucleic acid binding	GO:0006364	rRNA processing
NCU02612	NCU02612-t26_1	Neurospora crassa OR74A	starvation-1	stv-1	GO:0005634;GO:0005667	nucleus;transcription regulator complex	GO:0001228;GO:0000978	DNA-binding transcription activator activity, RNA polymerase II-specific;RNA polymerase II cis-regulatory region sequence-specific DNA binding	GO:0045944	positive regulation of transcription by RNA polymerase II	N/A	N/A	GO:0003700	DNA-binding transcription factor activity	GO:0006355	regulation of transcription, DNA-templated
NCU02613	NCU02613-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU02614	NCU02614-t26_1	Neurospora crassa OR74A	peptidyl-prolyl cis-trans isomerase H	nup-13	GO:0005737;GO:0043231;GO:0005681	cytoplasm;intracellular membrane-bounded organelle;spliceosomal complex	GO:0016018;GO:0003755	cyclosporin A binding;peptidyl-prolyl cis-trans isomerase activity	GO:0034599;GO:0006608;GO:0006457;GO:0000413;GO:0065003	cellular response to oxidative stress;obsolete snRNP protein import into nucleus;protein folding;protein peptidyl-prolyl isomerization;protein-containing complex assembly	GO:0005634	nucleus	GO:0003755	peptidyl-prolyl cis-trans isomerase activity	GO:0006457;GO:0000413	protein folding;protein peptidyl-prolyl isomerization
NCU02615	NCU02615-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	GO:0005672	transcription factor TFIIA complex	N/A	N/A	GO:0006366	transcription by RNA polymerase II	GO:0005672	transcription factor TFIIA complex	N/A	N/A	GO:0006367;GO:0006351	transcription initiation from RNA polymerase II promoter;transcription, DNA-templated
NCU02616	NCU02616-t26_1	Neurospora crassa OR74A	WD-repeat containing protein slp1	cdc20	GO:0005680	anaphase-promoting complex	GO:0010997;GO:1990757	anaphase-promoting complex binding;ubiquitin ligase activator activity	GO:0031145;GO:0034599;GO:1905786	anaphase-promoting complex-dependent catabolic process;cellular response to oxidative stress;positive regulation of anaphase-promoting complex-dependent catabolic process	N/A	N/A	GO:0010997;GO:0005515;GO:0097027	anaphase-promoting complex binding;protein binding;ubiquitin-protein transferase activator activity	GO:1904668	positive regulation of ubiquitin protein ligase activity
NCU02617	NCU02617-t26_1	Neurospora crassa OR74A	kelch repeat-containing protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005515	protein binding	N/A	N/A
NCU02618	NCU02618-t26_1	Neurospora crassa OR74A	Peroxisomal membrane protein	pex13	GO:0009514;GO:1990429;GO:0005778	glyoxysome;peroxisomal importomer complex;peroxisomal membrane	GO:0005052;GO:0005053	peroxisome matrix targeting signal-1 binding;peroxisome matrix targeting signal-2 binding	GO:0016560	protein import into peroxisome matrix, docking	GO:0016021;GO:0005777	integral component of membrane;peroxisome	GO:0005515	protein binding	GO:0016560	protein import into peroxisome matrix, docking
NCU02619	NCU02619-t26_1	Neurospora crassa OR74A	tRNA-dihydrouridine synthase-3	tdus-3	N/A	N/A	GO:0017150	tRNA dihydrouridine synthase activity	N/A	N/A	GO:0005737;GO:0005634	cytoplasm;nucleus	GO:0003824;GO:0050660;GO:0046872;GO:0017150;GO:0102265	catalytic activity;flavin adenine dinucleotide binding;metal ion binding;tRNA dihydrouridine synthase activity;tRNA-dihydrouridine47 synthase activity	GO:0055114;GO:0008033	obsolete oxidation-reduction process;tRNA processing
NCU02620	NCU02620-t26_1	Neurospora crassa OR74A	kelch domain-containing protein-containing protein	pod-4	N/A	N/A	N/A	N/A	GO:0007163	establishment or maintenance of cell polarity	N/A	N/A	GO:0005515	protein binding	N/A	N/A
NCU02621	NCU02621-t26_1	Neurospora crassa OR74A	zinc finger transcription factor-30	znf-30	GO:0005634	nucleus	N/A	N/A	GO:0034599	cellular response to oxidative stress	N/A	N/A	N/A	N/A	GO:0006355	regulation of transcription, DNA-templated
NCU02622	NCU02622-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU02623	NCU02623-t26_1	Neurospora crassa OR74A	mitochondrial hypoxia responsive domain-containing protein	mhr-1	GO:0031305;GO:0031966;GO:0005746	integral component of mitochondrial inner membrane;mitochondrial membrane;mitochondrial respirasome	N/A	N/A	GO:0033617;GO:0043331	mitochondrial cytochrome c oxidase assembly;response to dsRNA	N/A	N/A	N/A	N/A	N/A	N/A
NCU02624	NCU02624-t26_1	Neurospora crassa OR74A	Lanosterol 14-alpha demethylase, putative	erg-11	N/A	N/A	GO:0004497;GO:0016491	monooxygenase activity;oxidoreductase activity	GO:0006696;GO:0055114;GO:0060992;GO:0016125	ergosterol biosynthetic process;obsolete oxidation-reduction process;response to fungicide;sterol metabolic process	GO:0016021	integral component of membrane	GO:0020037;GO:0005506;GO:0004497;GO:0016705	heme binding;iron ion binding;monooxygenase activity;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	GO:0017000;GO:0055114;GO:0006694	antibiotic biosynthetic process;obsolete oxidation-reduction process;steroid biosynthetic process
NCU02625	NCU02625-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	GO:0046921	alpha-(1->6)-fucosyltransferase activity	GO:0036071;GO:0006487	N-glycan fucosylation;protein N-linked glycosylation	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU02626	NCU02626-t26_1	Neurospora crassa OR74A	kinesin-4	kin-4	GO:0005871;GO:0005874	kinesin complex;microtubule	GO:0016887;GO:0008017;GO:0003777	ATP hydrolysis activity;microtubule binding;microtubule motor activity	GO:0034599;GO:0007018	cellular response to oxidative stress;microtubule-based movement	N/A	N/A	GO:0005524;GO:0008017;GO:0003777	ATP binding;microtubule binding;microtubule motor activity	GO:0007018	microtubule-based movement
NCU02627	NCU02627-t26_1	Neurospora crassa OR74A	hypothetical protein, variant 1, hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU02627	NCU02627-t26_2	Neurospora crassa OR74A	hypothetical protein, variant 1, hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU02628	NCU02628-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU02629	NCU02629-t26_1	Neurospora crassa OR74A	bifunctional purine biosynthesis protein	ad-5	GO:0005829	cytosol	GO:0003937;GO:0004643	IMP cyclohydrolase activity;phosphoribosylaminoimidazolecarboxamide formyltransferase activity	GO:0006189;GO:0006164	'de novo' IMP biosynthetic process;purine nucleotide biosynthetic process	N/A	N/A	GO:0003937;GO:0003824;GO:0004643	IMP cyclohydrolase activity;catalytic activity;phosphoribosylaminoimidazolecarboxamide formyltransferase activity	GO:0006164	purine nucleotide biosynthetic process
NCU02630	NCU02630-t26_1	Neurospora crassa OR74A	heat shock protein 78	hsp78	GO:0005759;GO:0005739	mitochondrial matrix;mitochondrion	GO:0051082	unfolded protein binding	GO:0000002;GO:0006457;GO:0030150;GO:0006950	mitochondrial genome maintenance;protein folding;protein import into mitochondrial matrix;response to stress	N/A	N/A	GO:0005524	ATP binding	GO:0030163;GO:0006457;GO:0006950	protein catabolic process;protein folding;response to stress
NCU02631	NCU02631-t26_1	Neurospora crassa OR74A	DNA replication complex GINS protein psf-1	drc-1	GO:0000811	GINS complex	N/A	N/A	GO:1902983	DNA strand elongation involved in mitotic DNA replication	GO:0000811	GINS complex	N/A	N/A	GO:0006260	DNA replication
NCU02632	NCU02632-t26_1	Neurospora crassa OR74A	sulfate transporter	cys-23	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021;GO:0016020	integral component of membrane;membrane	GO:0008271;GO:0015116	secondary active sulfate transmembrane transporter activity;sulfate transmembrane transporter activity	GO:0008272;GO:0055085	sulfate transport;transmembrane transport
NCU02633	NCU02633-t26_1	Neurospora crassa OR74A	nuclear mRNA splicing factor-associated protein	N/A	GO:0005686;GO:0005684	U2 snRNP;U2-type spliceosomal complex	GO:0003723	RNA binding	N/A	N/A	GO:0005634	nucleus	GO:0003723;GO:0003676	RNA binding;nucleic acid binding	GO:0008380;GO:0000398	RNA splicing;mRNA splicing, via spliceosome
NCU02634	NCU02634-t26_1	Neurospora crassa OR74A	hypothetical protein, variant 1, hypothetical protein	N/A	GO:0008541	proteasome regulatory particle, lid subcomplex	GO:0061133;GO:0070628;GO:0043130	endopeptidase activator activity;proteasome binding;ubiquitin binding	GO:0006511	ubiquitin-dependent protein catabolic process	GO:0005737;GO:0005634	cytoplasm;nucleus	N/A	N/A	N/A	N/A
NCU02634	NCU02634-t26_2	Neurospora crassa OR74A	hypothetical protein, variant 1, hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005737;GO:0005634	cytoplasm;nucleus	N/A	N/A	N/A	N/A
NCU02635	NCU02635-t26_1	Neurospora crassa OR74A	mannan polymerase complexes MNN9 subunit	gt62-2	GO:0000136	mannan polymerase complex	N/A	N/A	GO:0000032;GO:0006487	cell wall mannoprotein biosynthetic process;protein N-linked glycosylation	GO:0005794;GO:0005801	Golgi apparatus;cis-Golgi network	GO:0000009	alpha-1,6-mannosyltransferase activity	GO:0071555;GO:0006486	cell wall organization;protein glycosylation
NCU02636	NCU02636-t26_1	Neurospora crassa OR74A	ubiquitin conjugating enzyme	pex4	GO:0005634	nucleus	GO:0061631	ubiquitin conjugating enzyme activity	GO:0000209	protein polyubiquitination	N/A	N/A	N/A	N/A	N/A	N/A
NCU02637	NCU02637-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	GO:0034599	cellular response to oxidative stress	N/A	N/A	N/A	N/A	N/A	N/A
NCU02638	NCU02638-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU02639	NCU02639-t26_1	Neurospora crassa OR74A	Argininosuccinate synthase, argininosuccinate synthase, variant 1	arg-1	GO:0005737;GO:0005829	cytoplasm;cytosol	GO:0004055	argininosuccinate synthase activity	GO:0006526;GO:0000053;GO:0042149;GO:0034599;GO:0000050	arginine biosynthetic process;argininosuccinate metabolic process;cellular response to glucose starvation;cellular response to oxidative stress;urea cycle	GO:0005829	cytosol	GO:0005524;GO:0004055	ATP binding;argininosuccinate synthase activity	GO:0006526	arginine biosynthetic process
NCU02639	NCU02639-t26_2	Neurospora crassa OR74A	Argininosuccinate synthase, argininosuccinate synthase, variant 1	arg-1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005524;GO:0004055	ATP binding;argininosuccinate synthase activity	GO:0006526	arginine biosynthetic process
NCU02640	NCU02640-t26_1	Neurospora crassa OR74A	hypothetical protein	rrn-1	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005730	nucleolus	N/A	N/A	GO:0006364	rRNA processing
NCU02641	NCU02641-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	GO:0034599	cellular response to oxidative stress	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU02643	NCU02643-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU02644	NCU02644-t26_1	Neurospora crassa OR74A	Telomere binding protein	N/A	GO:0070187	shelterin complex	GO:0003676	nucleic acid binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU02644	NCU02644-t26_2	Neurospora crassa OR74A	Telomere binding protein	N/A	GO:0070187	shelterin complex	GO:0003676	nucleic acid binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU02648	NCU02648-t26_1	Neurospora crassa OR74A	Methyltransferase	N/A	N/A	N/A	GO:0008168	methyltransferase activity	GO:0006744	ubiquinone biosynthetic process	N/A	N/A	N/A	N/A	GO:0032259	methylation
NCU02650	NCU02650-t26_1	Neurospora crassa OR74A	26S proteasome non-ATPase regulatory subunit 12	rpn-5	GO:0005737;GO:0031595;GO:0008541	cytoplasm;nuclear proteasome complex;proteasome regulatory particle, lid subcomplex	N/A	N/A	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	N/A	N/A	N/A	N/A	GO:0043161;GO:0065003	proteasome-mediated ubiquitin-dependent protein catabolic process;protein-containing complex assembly
NCU02651	NCU02651-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU02652	NCU02652-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU02653	NCU02653-t26_1	Neurospora crassa OR74A	allantoate permease	mfs-20	GO:0031224	intrinsic component of membrane	GO:0033229;GO:0022857	cysteine transmembrane transporter activity;transmembrane transporter activity	GO:0042883	cysteine transport	GO:0016021	integral component of membrane	GO:0022857	transmembrane transporter activity	GO:0015720;GO:0055085	allantoin transport;transmembrane transport
NCU02654	NCU02654-t26_1	Neurospora crassa OR74A	glycosyl hydrolase family 88	gh105-1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0003824;GO:0016787	catalytic activity;hydrolase activity	N/A	N/A
NCU02655	NCU02655-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	GO:0016021;GO:0005887	integral component of membrane;integral component of plasma membrane	GO:0022857	transmembrane transporter activity	GO:0055085	transmembrane transport	N/A	N/A	GO:0022857	transmembrane transporter activity	GO:0055085	transmembrane transport
NCU02656	NCU02656-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU02657	NCU02657-t26_1	Neurospora crassa OR74A	s-adenosylmethionine synthetase, variant 1, S-adenosylmethionine synthetase	eth-1	GO:0005829	cytosol	GO:0004478	methionine adenosyltransferase activity	GO:0006556	S-adenosylmethionine biosynthetic process	N/A	N/A	GO:0005524;GO:0046872;GO:0004478	ATP binding;metal ion binding;methionine adenosyltransferase activity	GO:0006556;GO:0009087;GO:0006555;GO:0006730	S-adenosylmethionine biosynthetic process;methionine catabolic process;methionine metabolic process;one-carbon metabolic process
NCU02657	NCU02657-t26_2	Neurospora crassa OR74A	s-adenosylmethionine synthetase, variant 1, S-adenosylmethionine synthetase	eth-1	GO:0005737;GO:0005829;GO:0005739	cytoplasm;cytosol;mitochondrion	GO:0004478	methionine adenosyltransferase activity	GO:0006556;GO:0034599;GO:0006555;GO:0044030	S-adenosylmethionine biosynthetic process;cellular response to oxidative stress;methionine metabolic process;regulation of DNA methylation	N/A	N/A	GO:0005524;GO:0046872;GO:0004478	ATP binding;metal ion binding;methionine adenosyltransferase activity	GO:0006556;GO:0006555;GO:0006730	S-adenosylmethionine biosynthetic process;methionine metabolic process;one-carbon metabolic process
NCU02658	NCU02658-t26_1	Neurospora crassa OR74A	cell wall-3	wal-3	N/A	N/A	GO:0003924	GTPase activity	N/A	N/A	N/A	N/A	GO:0005525	GTP binding	GO:0007064;GO:0006606	mitotic sister chromatid cohesion;protein import into nucleus
NCU02659	NCU02659-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU02660	NCU02660-t26_1	Neurospora crassa OR74A	DUF962 domain-containing protein	N/A	N/A	N/A	N/A	N/A	GO:0034599;GO:0046521	cellular response to oxidative stress;sphingoid catabolic process	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU02661	NCU02661-t26_1	Neurospora crassa OR74A	DNA-directed RNA polymerase II polypeptide	rpo-7	GO:0000932;GO:0005665	P-body;RNA polymerase II, core complex	GO:0003899;GO:0003697;GO:0003727;GO:0031369	DNA-directed 5'-3' RNA polymerase activity;single-stranded DNA binding;single-stranded RNA binding;translation initiation factor binding	GO:0000291;GO:0060213;GO:0045948;GO:0035196;GO:0006366;GO:0006367	nuclear-transcribed mRNA catabolic process, exonucleolytic;positive regulation of nuclear-transcribed mRNA poly(A) tail shortening;positive regulation of translational initiation;production of miRNAs involved in gene silencing by miRNA;transcription by RNA polymerase II;transcription initiation from	N/A	N/A	GO:0003899;GO:0003676	DNA-directed 5'-3' RNA polymerase activity;nucleic acid binding	GO:0006351	transcription, DNA-templated
NCU02663	NCU02663-t26_1	Neurospora crassa OR74A	lysine-10	lys-10	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0051539;GO:0003824;GO:0051536;GO:0046872	4 iron, 4 sulfur cluster binding;catalytic activity;iron-sulfur cluster binding;metal ion binding	N/A	N/A
NCU02664	NCU02664-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU02665	NCU02665-t26_1	Neurospora crassa OR74A	diacylglycerol acyltransferase-1	dga-1	GO:0005783;GO:0005789	endoplasmic reticulum;endoplasmic reticulum membrane	GO:0008374;GO:0004144	O-acyltransferase activity;diacylglycerol O-acyltransferase activity	GO:0006629;GO:0019432	lipid metabolic process;triglyceride biosynthetic process	GO:0016021	integral component of membrane	GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups	GO:0006071	glycerol metabolic process
NCU02666	NCU02666-t26_1	Neurospora crassa OR74A	zinc finger transcription factor-58	znf-58	GO:0005634	nucleus	GO:0001228;GO:0000978	DNA-binding transcription activator activity, RNA polymerase II-specific;RNA polymerase II cis-regulatory region sequence-specific DNA binding	GO:0010468;GO:0006355	regulation of gene expression;regulation of transcription, DNA-templated	N/A	N/A	N/A	N/A	N/A	N/A
NCU02668	NCU02668-t26_1	Neurospora crassa OR74A	glycosyl hydrolase unclassified family-3	ghx-3	GO:0009986;GO:0009277	cell surface;fungal-type cell wall	N/A	N/A	GO:0031505	fungal-type cell wall organization	N/A	N/A	N/A	N/A	N/A	N/A
NCU02669	NCU02669-t26_1	Neurospora crassa OR74A	signal sequence binding protein	vps10	GO:0005794;GO:0016021	Golgi apparatus;integral component of membrane	N/A	N/A	GO:0006895;GO:0006896;GO:0006892;GO:0006623	Golgi to endosome transport;Golgi to vacuole transport;post-Golgi vesicle-mediated transport;protein targeting to vacuole	GO:0005829;GO:0016021;GO:0031902	cytosol;integral component of membrane;late endosome membrane	GO:0005515	protein binding	GO:0006605;GO:0007034;GO:0016192	protein targeting;vacuolar transport;vesicle-mediated transport
NCU02670	NCU02670-t26_1	Neurospora crassa OR74A	ATP binding L-PSP endoribonuclease	N/A	N/A	N/A	GO:0017178	diphthine-ammonia ligase activity	GO:0017183	peptidyl-diphthamide biosynthetic process from peptidyl-histidine	N/A	N/A	N/A	N/A	N/A	N/A
NCU02671	NCU02671-t26_1	Neurospora crassa OR74A	cutinase G-box binding protein	msn-1	GO:0005634	nucleus	GO:0000981;GO:0000987	DNA-binding transcription factor activity, RNA polymerase II-specific;cis-regulatory region sequence-specific DNA binding	GO:0043619;GO:0042594	regulation of transcription from RNA polymerase II promoter in response to oxidative stress;response to starvation	N/A	N/A	N/A	N/A	GO:0006355	regulation of transcription, DNA-templated
NCU02672	NCU02672-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU02673	NCU02673-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU02674	NCU02674-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	GO:0034599	cellular response to oxidative stress	N/A	N/A	GO:0005515	protein binding	N/A	N/A
NCU02675	NCU02675-t26_1	Neurospora crassa OR74A	RNA-3'-phosphate cyclase	rbg-27	GO:0005730	nucleolus	GO:0004521	endoribonuclease activity	GO:0000479	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	GO:0005730	nucleolus	GO:0003824	catalytic activity	GO:0006396;GO:0006364;GO:0042254	RNA processing;rRNA processing;ribosome biogenesis
NCU02676	NCU02676-t26_1	Neurospora crassa OR74A	DSC E3 ubiquitin ligase complex subunit 4, putative	dsc-4	N/A	N/A	N/A	N/A	GO:1900039;GO:0034067;GO:0016485;GO:0060049;GO:0035103	positive regulation of cellular response to hypoxia;protein localization to Golgi apparatus;protein processing;regulation of protein glycosylation;sterol regulatory element binding protein cleavage	GO:0044695	Dsc E3 ubiquitin ligase complex	N/A	N/A	GO:0035103	sterol regulatory element binding protein cleavage
NCU02677	NCU02677-t26_1	Neurospora crassa OR74A	carbamoyl-phosphate synthase large subunit	arg-3	GO:0005737;GO:0005829;GO:0005739	cytoplasm;cytosol;mitochondrion	GO:0004070;GO:0004088;GO:0004151	aspartate carbamoyltransferase activity;carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity;dihydroorotase activity	GO:0006207;GO:0006228;GO:0006526;GO:0034599;GO:0019240;GO:0006807	'de novo' pyrimidine nucleobase biosynthetic process;UTP biosynthetic process;arginine biosynthetic process;cellular response to oxidative stress;citrulline biosynthetic process;nitrogen compound metabolic process	GO:0005951	carbamoyl-phosphate synthase complex	GO:0005524;GO:0004088;GO:0046872	ATP binding;carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity;metal ion binding	GO:0006526;GO:0006807	arginine biosynthetic process;nitrogen compound metabolic process
NCU02678	NCU02678-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	GO:0000776	kinetochore	N/A	N/A	N/A	N/A	N/A	N/A	GO:0003676	nucleic acid binding	N/A	N/A
NCU02679	NCU02679-t26_1	Neurospora crassa OR74A	carboxylesterase	cea-1	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	GO:0016787	hydrolase activity	N/A	N/A
NCU02680	NCU02680-t26_1	Neurospora crassa OR74A	nuclear protein localization protein 4, variant 1, nuclear protein localization protein 4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0006511	ubiquitin-dependent protein catabolic process
